nom;quantitee;preparation
Arktik;4 cl de vodka,4 cl de jus de pomme,2 tranches de pamplemousse,Quelques feuilles de menthe,½ cuillère de miel;Dans un shaker, déposez 2 tranches de pamplemousse et quelques  feuilles de menthe , ½ cuillère de miel. Pilez. Ajoutez des glaçons puis versez  : 4 cl de vodka, 4 cl de jus de pomme. Secouez énergiquement et filtrez dans un verre à cocktail. 
Été Indien;4 cl de pastis,1 cl de crème de mûre,eau;Dans un verre à whisky, versez 4 cl de pastis et 1 cl de crème de mûre. Allongez d'eau fraîche, ajoutez des glaçons et mélangez. 
Grand Large;3 cl de pastis,2 cl de crème de menthe,1 cl de sirop d'orgeat;Dans un shaker, versez 3 cl de pastis, 2 cl de crème de menthe et 1 cl de sirop d'orgeat. Shakez, allongez d'eau fraîche puis ajoutez des glaçons. Servez dans un verre à cocktail. 
Caraïb Ginger;9 cl de nectar de maracujà,3 cl de nectar de citron vert,1 cl de sirop de canne,2 rondelles de gingembre frais,3 gouttes de sauce pimentée;Dans un verre évasé, mettre les rondelles de gingembre, le sirop de canne et la sauce pimentée. Pilez le tout puis complétez avec des cubes de glace et les jus de fruits. 
Asian Pearl;4 cl de rhum blanc 50°,4 cl de nectar de litchi,2 cl de nectar de citron vert;Au shaker rempli de glace, mélangez le rhum et les jus de fruits et secouez énergiquement. Versez dans un verre bas en retenant les glaçons. 
Venezzio Spritz;5 cl de bitter sans alcool,5 cl d'effervescent sans alcool pêche,4 cl de jus d'orange,5 cl de soda,1 brin de romarin;Dans un shaker, versez tous les ingrédients, pilez légerement les quartiers d’orange puis ajoutez des glaçons et shakez. Filtrez dans un verre long drink. 
Blue Moon;2 cl de pastis,2 cl de gin,1 cl de crème de menthe;Dans un shaker, versez 2 cl de pastis, 2 cl de gin et 1 cl de crème de menthe. Shakez, allongez d'eau fraîche puis ajoutez des glaçons. Versez dans un verre à cocktail. 
Venezzio Sour;5 cl de bitter sans alcool,2 cl de sirop de canne,2,5 cl de jus de citron,3 tranches de gingembre,4 quartiers d'orange;Versez tous les ingrédients dans un shaker, pilez légerement les quartiers d’orange puis ajoutez des glaçons et shakez. Filtrez dans un verre old fashioned 
Cendrillon;4 cl de nectar de citron vert,4 cl de jus d'ananas,4 cl de jus d'orange,1 trait de sirop de grenadine;Dans un verre bas évasé, versez les jus de fruits puis ajoutez un trait de sirop de grenadine. 
Real One;6 cl de nectar de cranberry,eau gazeuse,6 dés d'orange,1 branche de menthe effeuillée écrasée;A l'aide d'un pilon dans un tumbler rempli de glace pilée, écrasez les dés d'orange avec des feuilles de menthe. Ajoutez le nectar de cranberry sur la glace pilée, puis allongez d'eau gazeuse. 
Baltic Secret;3 cl de vodka,3 cl de crème de cassis,10 cl de limonade,3 quartiers de citron vert;Dans un verre tumbler, versez tous les ingrédients et remplissez de glaçons 
Aphrokiwi;8 cl jus de kiwi,8 cl de nectar de pêche,2 cl de jus de gingembre;Au shaker, versez les nectars dans un verre long drink rempli de glaçons. Décorez avec une tranche de kiwi. 
Tropical Breeze;10 cl de nectar de goyave,4 cl de jus d'orange,2 cl de nectar de banane;Dans un verre tumbler sur glace, mélangez les jus de fruits puis décorez d'un quartier d'orange. 
Printanier;4 cl de gentiane,2 cl de curaçao,1 cl de sirop de canne,2 cl de jus de citron;Dans un shaker à moitié rempli de glaçons, versez 4 cl de gentiane, 2 cl de curaçao, 2 cl de jus de citron et 1 cl de sirop de canne. Shakez et servez dans un verre à cocktail. 
L'Exotique;2 cl d'anisette,2 cl de crème de pêche,4 cl de nectar de goyave;Dans un shaker, versez 2 cl d'anisette, 2 cl de crème de pêche et 4 cl de nectar de goyave. Shakez, allongez d'eau fraîche et servez dans un verre à cocktail. 
Virgin Mojito;10 cl de cocktail Mojito,2 cl de limonade,1 cl de sirop de canne,feuilles de menthe;"Réalisez la recette ""Virgin Mojito"" directement dans le verre. Ecrasez le demi citron vert coupé en dés avec une bonne cuillère à soupe de sucre dans le verre à l'aide d'un pilon. Placez la menthe fraîche dans la préparation et pilez-la délicatement sans la broyer. Remplissez le verre à moitié de glace pilée et ajoutez le jus de mojito. Mélangez et complétez avec de l'eau gazeuse. "
Sakura;6 cl de rivesaltes rosé,2 cl de crème de pamplemousse,2 cl de nectar de litchi;Dans un verre incorporez 2 cl de crème de pamplemousse, 6 cl de rivesaltes rosé, 2 cl de nectar de litchi. Remuez à la cuillère à mélange. Servez dans un verre à cocktail. 
Le Sang du Pirate;8 cl de rhum blanc 50°,tonic,un trait de sirop de fraise;Dans un verre bas, versez le rhum, allongez avec du tonic, puis versez en dernier lieu un trait de sirop de fraise. 
Pear to peach;4 cl de tequila,1 cl de crème de pêche,6 cl de nectar de poire,2 cl de nectar de cranberry;Dans un shaker rempli à moitié de glaçons, versez 4 cl de tequila, 6 cl de nectar de poire, 2 cl de nectar de cranberry, 1 cl de crème de pêche. Shakez et versez dans un verre à cocktail. 
Big Brother;4 cl de scotch whisky,3 cl de jus d'ananas,3 cl de crème de cassis,2 cl de sirop de canne;Dans un shaker rempli de glaçons, versez les ingrédients et secouez énergiquement. Servez dans un verre long drink avec des glaçons. 
Spicy Colada;4 cl de rhum blanc 59°,5 cl de jus de coco,5 cl de purée d'ananas,noix de muscade;Dans un blender, versez le rhum, le jus de coco et la purée d'ananas avec la glace pilée. Mixez-le tout et versez dans un verre tumbler. Râpez de la noix de muscade sur le dessus du verre et servez immédiatement. 
Gin Fizz;4 cl de gin,2 cl de jus de citron pressé,2 cl de sirop de canne,eau gazeuse;Dans un shaker rempli à moitié de glaçons, versez 4 cl de gin, 2 cl de jus de citron et 2 cl de sirop de canne. Shakez et versez le tout dans un verre long drink. Allongez d'eau gazeuse bien fraîche. 
Aloe Shark;6 cl de cocktail Mojito,4 cl de nectar de goyave,2 cl de cocktail Margarita;Dans un shaker, versez les jus de fruits, secouez énergiquement. Dans un verre à cocktail, versez sur glace pilée puis décorez de rondelles de pomme. 
Exotick'Guava;4 cl de rhum blanc,2 cl de sirop de canne,12 cl de nectar de goyave;Au shaker, mélangez les ingrédients et complétez avec de la glace. Shakez et versez dans un verre long drink. 
Mango;4 cl de rhum blanc 40°,6 cl de nectar de mangue,2 cl de nectar de maracuja,1 cl de sirop de canne;Dans un shaker rempli à moitié de glaçons, versez 4 cl de rhum blanc 40°, 6 cl de nectar de mangue, 2 cl de nectar de maracuja, 1 cl de sirop de canne. Shakez et servez dans un verre à cocktail. 
Pink Royal;4 cl de porto rosé,2 cl de liqueur de cerise,champagne;Dans un verre à cocktail, versez 4 cl de porto rosé, puis la liqueur de cerise, allongez de champagne, décorez avec une brochette de 2 griottes. 
Bramble;4 cl de gin,2 cl de crème de mûre,2 cl de jus de citron pressé,1 cl de sirop de canne;Dans un shaker rempli à moitié de glaçons, versez 4 cl de gin, 2 cl de crème de mûre, 1 cl de sirop de canne, 2 cl de jus de citron. Shakez et versez le tout dans un verre à cocktail. 
London Night;4 cl de scotch whisky,4 cl de jus d'ananas,4 cl de nectar de maracuja;Dans un shaker rempli à moitié de glaçons, versez 4 cl de scotch whisky, 4 cl de jus d'ananas, 4 cl de nectar de maracuja. Shakez et servez dans un verre à cocktail. 
Tropical King;4 cl de rhum ambré,4 cl de jus d'ananas,4 cl de nectar de goyave,1 cl de sirop d'orgeat;Dans un shaker rempli à moitié de glaçons, versez 4 cl de rhum ambré, 4 cl de nectar de goyave, 4 cl de jus d'ananas, 1 cl de sirop d'orgeat. Shakez et versez dans un verre long drink. 
Acapulco Golden;4 cl de rhum blanc 50°,6 cl de jus d’ananas,6 cl de jus de pamplemousse;Dans un verre long drink rempli de glace pilée, versez le rhum blanc et les jus de fruits. 
Pink Flower;5 cl de porto rosé,2 cl de sirop de rose;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto rosé, 2 cl de sirop de rose. Shakez et filtrez dans un verre à cocktail. 
Groenland;4 cl de vodka,2 cl de triple sec,4 cl de jus d'ananas,limonade;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 2 cl de triple sec, 4 cl de jus d'ananas. Shakez et versez le tout dans un verre long drink.Allongez de limonade 
Fraise exotique;4 cl de vodka,4 cl de jus de fraise,2 cl de nectar de maracuja,1 cl de sirop de vanille;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 4 cl de jus de fraise, 2 cl de nectar de maracuja, 1 cl de sirop de vanille. Shakez et versez le tout dans un verre à cocktail. 
Delight;4 cl de Saint Raphaël rouge,1 cl de crème de framboise,1 cl de jus de citron;Dans un shaker à moitié rempli de glaçons, versez 4 cl de Saint Raphaël rouge, 1 cl de crème de framboise et 1 cl de jus de citron. Shakez et versez dans un verre à whisky. 
Sex on the beach;3 cl de vodka,2 cl de liqueur de melon,2 cl de liqueur de mûre,6 cl de jus d’ananas,6 cl de nectar de cranberry;Dans un verre de type tulipe, versez la vodka et les liqueurs sur les glaçons et mélangez. Versez ensuite les jus, mélangez de nouveau, ajoutez une tranche d’ananas en décoration et vous pouvez servir. 
